Time,Product,Amount
3/16/2024 9:00,Apples,10
3/16/2024 9:15,Oranges,15
3/16/2024 9:30,Bananas,20
3/16/2024 9:45,Apples,12
3/16/2024 10:00,Oranges,18
3/16/2024 10:15,Bananas,22
3/16/2024 10:30,Apples,8
3/16/2024 10:45,Oranges,20
3/16/2024 11:00,Bananas,25
3/16/2024 11:15,Apples,14
3/16/2024 11:30,Oranges,16
3/16/2024 11:45,Bananas,30
3/16/2024 12:00,Apples,18
3/16/2024 12:15,Oranges,25
3/16/2024 12:30,Bananas,35
3/16/2024 12:45,Apples,20
3/16/2024 13:00,Oranges,30
3/16/2024 13:15,Bananas,40
3/16/2024 13:30,Apples,22
3/16/2024 13:45,Oranges,35
3/16/2024 14:00,Bananas,45
3/16/2024 14:15,Apples,24
3/16/2024 14:30,Oranges,40
3/16/2024 14:45,Bananas,50
3/16/2024 15:00,Apples,26
3/16/2024 15:15,Oranges,45
3/16/2024 15:30,Bananas,55
3/16/2024 15:45,Apples,28
3/16/2024 16:00,Oranges,50
3/16/2024 16:15,Bananas,60
3/16/2024 16:30,Apples,30
3/16/2024 16:45,Oranges,55
3/16/2024 17:00,Bananas,65
3/16/2024 17:15,Apples,32
3/16/2024 17:30,Oranges,60
3/16/2024 17:45,Bananas,70
3/16/2024 18:00,Apples,34
3/16/2024 18:15,Oranges,65
3/16/2024 18:30,Bananas,75
3/16/2024 18:45,Apples,36
3/16/2024 19:00,Oranges,70
3/16/2024 19:15,Bananas,80
3/16/2024 19:30,Apples,38
3/16/2024 19:45,Oranges,75
3/16/2024 20:00,Bananas,85
3/16/2024 20:15,Apples,40
3/16/2024 20:30,Oranges,80
3/16/2024 20:45,Bananas,90
