Time,Product,Amount
3/16/2024 9:00,Carrots,5
3/16/2024 9:15,Tomatoes,10
3/16/2024 9:30,Broccoli,8
3/16/2024 9:45,Spinach,15
3/16/2024 10:00,Carrots,7
3/16/2024 10:15,Tomatoes,12
3/16/2024 10:30,Broccoli,10
3/16/2024 10:45,Spinach,20
3/16/2024 11:00,Carrots,8
3/16/2024 11:15,Tomatoes,14
3/16/2024 11:30,Broccoli,12
3/16/2024 11:45,Spinach,25
3/16/2024 12:00,Carrots,10
3/16/2024 12:15,Tomatoes,16
3/16/2024 12:30,Broccoli,14
3/16/2024 12:45,Spinach,30
3/16/2024 13:00,Carrots,12
3/16/2024 13:15,Tomatoes,18
3/16/2024 13:30,Broccoli,16
3/16/2024 13:45,Spinach,35
3/16/2024 14:00,Carrots,14
3/16/2024 14:15,Tomatoes,20
3/16/2024 14:30,Broccoli,18
3/16/2024 14:45,Spinach,40
3/16/2024 15:00,Carrots,16
3/16/2024 15:15,Tomatoes,22
3/16/2024 15:30,Broccoli,20
3/16/2024 15:45,Spinach,45
3/16/2024 16:00,Carrots,18
3/16/2024 16:15,Tomatoes,24
3/16/2024 16:30,Broccoli,22
3/16/2024 16:45,Spinach,50
3/16/2024 17:00,Carrots,20
3/16/2024 17:15,Tomatoes,26
3/16/2024 17:30,Broccoli,24
3/16/2024 17:45,Spinach,55
3/16/2024 18:00,Carrots,22
3/16/2024 18:15,Tomatoes,28
3/16/2024 18:30,Broccoli,26
3/16/2024 18:45,Spinach,60
3/16/2024 19:00,Carrots,24
3/16/2024 19:15,Tomatoes,30
3/16/2024 19:30,Broccoli,28
3/16/2024 19:45,Spinach,65
3/16/2024 20:00,Carrots,26
3/16/2024 20:15,Tomatoes,32
3/16/2024 20:30,Broccoli,30
3/16/2024 20:45,Spinach,70
